CustomerID,last_purchase,frequency,monetary,country,recency_days,r_score,f_score,m_score,rfm_score,segment
12346.0,2011-01-18 10:01:00,1,77183.6,United Kingdom,325,1,1,5,7,High Value
12347.0,2011-12-07 15:52:00,7,4310.0,Iceland,2,5,5,5,15,Champions
12348.0,2011-09-25 13:13:00,4,1797.24,Finland,75,2,4,4,10,At Risk
12349.0,2011-11-21 09:51:00,1,1757.55,Italy,18,4,1,4,9,New Customers
12350.0,2011-02-02 16:01:00,1,334.4,Norway,310,1,1,2,4,Needs Nurture
12352.0,2011-11-03 14:37:00,8,2506.04,Norway,36,3,5,5,13,Loyal Customers
12353.0,2011-05-19 17:47:00,1,89.0,Bahrain,204,1,1,1,3,Needs Nurture
12354.0,2011-04-21 13:11:00,1,1079.4,Spain,232,1,1,4,6,High Value
12355.0,2011-05-09 13:49:00,1,459.4,Bahrain,214,1,1,2,4,Needs Nurture
12356.0,2011-11-17 08:40:00,3,2811.43,Portugal,22,4,3,5,12,High Value
12357.0,2011-11-06 16:07:00,1,6207.67,Switzerland,33,3,1,5,9,High Value
12358.0,2011-12-08 10:26:00,2,1168.06,Austria,1,5,2,4,11,New Customers
12359.0,2011-10-13 12:47:00,4,6372.58,Cyprus,57,3,4,5,12,Loyal Customers
12360.0,2011-10-18 15:22:00,3,2662.06,Austria,52,3,3,5,11,High Value
12361.0,2011-02-25 13:51:00,1,189.9,Belgium,287,1,1,1,3,Needs Nurture
12362.0,2011-12-06 15:40:00,10,5226.23,Belgium,3,5,5,5,15,Champions
12363.0,2011-08-22 10:18:00,2,552.0,Unspecified,109,2,2,3,7,Needs Nurture
12364.0,2011-12-02 10:22:00,4,1313.1,Belgium,7,5,4,4,13,Champions
12365.0,2011-02-21 14:04:00,2,641.38,Cyprus,291,1,2,3,6,Needs Nurture
12367.0,2011-12-05 16:48:00,1,168.9,Denmark,4,5,1,1,7,New Customers
12370.0,2011-10-19 14:51:00,4,3545.69,Cyprus,51,3,4,5,12,Loyal Customers
12371.0,2011-10-26 10:16:00,2,1887.96,Switzerland,44,3,2,4,9,High Value
12372.0,2011-09-29 12:12:00,3,1298.04,Denmark,71,3,3,4,10,High Value
12373.0,2011-02-01 13:10:00,1,364.6,Austria,311,1,1,2,4,Needs Nurture
12374.0,2011-11-14 15:37:00,1,742.9300000000001,Austria,25,4,1,3,8,New Customers
12375.0,2011-11-29 10:36:00,2,457.5,Finland,10,5,2,2,9,New Customers
12377.0,2011-01-28 15:45:00,2,1628.12,Switzerland,315,1,2,4,7,High Value
12378.0,2011-08-02 10:34:00,1,4008.62,Switzerland,129,2,1,5,8,High Value
12379.0,2011-09-19 10:09:00,2,852.24,Belgium,81,2,2,3,7,Needs Nurture
12380.0,2011-11-18 11:27:00,4,2724.81,Belgium,21,4,4,5,13,Champions
12381.0,2011-12-05 12:44:00,5,1845.31,Norway,4,5,4,4,13,Champions
12383.0,2011-06-08 08:02:00,5,1850.56,Belgium,184,1,4,4,9,At Risk
12384.0,2011-11-11 08:39:00,2,585.27,Switzerland,28,4,2,3,9,New Customers
12386.0,2011-01-06 12:37:00,2,401.9,Australia,337,1,2,2,5,Needs Nurture
12388.0,2011-11-24 12:30:00,6,2780.66,Australia,15,4,4,5,13,Champions
12390.0,2011-09-21 09:33:00,1,549.84,Belgium,79,2,1,3,6,Needs Nurture
12391.0,2011-11-18 12:07:00,1,460.89,Cyprus,21,4,1,2,7,New Customers
12393.0,2011-09-28 15:41:00,4,1582.6000000000001,Australia,72,2,4,4,10,At Risk
12394.0,2011-10-07 08:08:00,2,1272.48,Belgium,63,3,2,4,9,High Value
12395.0,2011-11-20 15:21:00,12,3018.63,Belgium,19,4,5,5,14,Champions
12397.0,2011-11-04 09:52:00,2,2409.9,Belgium,35,3,2,5,10,High Value
12398.0,2011-10-25 10:27:00,1,1635.6599999999999,Switzerland,45,3,1,4,8,High Value
12399.0,2011-08-12 13:15:00,4,1108.65,Belgium,119,2,4,4,10,At Risk
12401.0,2011-02-09 13:50:00,1,84.3,Belgium,303,1,1,1,3,Needs Nurture
12402.0,2011-01-20 13:49:00,1,225.6,Belgium,323,1,1,1,3,Needs Nurture
12403.0,2011-10-21 10:51:00,1,427.7,Denmark,49,3,1,2,6,Needs Nurture
